user_genome	assembly_accession	assembly_bio_project_accession	assembly_bio_sample_accession	country	env_label_manual_2
Polaromonas_sp._341R_metabat_60_GCA_025351605.1	GCA_025351605.1	PRJNA781406	SAMN30205773	Uganda	GFS
Polaromonas_sp._338R_metabat_72_GCA_025352405.1	GCA_025352405.1	PRJNA781406	SAMN30205640	Uganda	GFS
Polaromonas_sp._GL140_1_metabinner_90_sub_GCA_025358905.1	GCA_025358905.1	PRJNA781406	SAMN30205854	Uganda	GFS
Polaromonas_sp._341R_metabinner_59_sub_GCA_025359325.1	GCA_025359325.1	PRJNA781406	SAMN30205787	Uganda	GFS
Polaromonas_sp._GL140_2_metabinner_137_GCA_025359525.1	GCA_025359525.1	PRJNA781406	SAMN30205904	Uganda	GFS
Polaromonas_sp._GL140_3_metabinner_95_sub_GCA_025361825.1	GCA_025361825.1	PRJNA781406	SAMN30205984	Uganda	GFS
Polaromonas_sp._341R_metabinner_37_GCA_025362315.1	GCA_025362315.1	PRJNA781406	SAMN30205784	Uganda	GFS
Polaromonas_sp._338R_metabinner_90_sub_GCA_025362825.1	GCA_025362825.1	PRJNA781406	SAMN30205664	Uganda	GFS
Polaromonas_sp._338R_metabinner_111_GCA_025363125.1	GCA_025363125.1	PRJNA781406	SAMN30205645	Uganda	GFS
Polaromonas_sp._337R_metabinner_20_sub_GCA_025363315.1	GCA_025363315.1	PRJNA781406	SAMN30205606	Uganda	GFS
Polaromonas_sp._OTE_1_metabat_360_sub_GCA_031360275.1	GCA_031360275.1	PRJNA808857	SAMN29838033	Switzerland	GFS
Polaromonas_sp._OTE_1_metabat_241_GCA_031360565.1	GCA_031360565.1	PRJNA808857	SAMN29838018	Switzerland	GFS
Polaromonas_sp._OTE_21_metabat_256_GCA_031363755.1	GCA_031363755.1	PRJNA808857	SAMN29838197	Switzerland	GFS
Polaromonas_sp._OTE_21_concoct_200_GCA_031364265.1	GCA_031364265.1	PRJNA808857	SAMN29838170	Switzerland	GFS
Polaromonas_sp._OTE_14_metabat.245_GCA_031365795.1	GCA_031365795.1	PRJNA808857	SAMN29838099	Switzerland	GFS
Polaromonas_sp._OTE_14_metabat.17_GCA_031365885.1	GCA_031365885.1	PRJNA808857	SAMN29838094	Switzerland	GFS
Polaromonas_sp._OTE_51_metabat_360_GCA_031370115.1	GCA_031370115.1	PRJNA808857	SAMN29838410	Switzerland	GFS
Polaromonas_sp._OTE_70_metabat_118_sub_GCA_031375685.1	GCA_031375685.1	PRJNA808857	SAMN29838610	Switzerland	GFS
Polaromonas_sp._OTE_70_concoct_231_GCA_031375865.1	GCA_031375865.1	PRJNA808857	SAMN29838600	Switzerland	GFS
Polaromonas_sp._OTE_78_metabat_161_GCA_031386705.1	GCA_031386705.1	PRJNA808857	SAMN29838842	Switzerland	GFS
Polaromonas_sp._OTE_78_metabat_150_GCA_031386895.1	GCA_031386895.1	PRJNA808857	SAMN29838838	Switzerland	GFS
Polaromonas_sp._SOY_38_metabat_66_GCA_031396485.1	GCA_031396485.1	PRJNA808857	SAMN29839437	Switzerland	GFS
Polaromonas_sp._VAR_34_metabat_240_GCA_031409395.1	GCA_031409395.1	PRJNA808857	SAMN29839875	Switzerland	GFS
Polaromonas_sp._VAR_25_metabat_291_GCA_031410335.1	GCA_031410335.1	PRJNA808857	SAMN29839829	Switzerland	GFS
Polaromonas_sp._VAR_18_metabat_307_GCA_031411155.1	GCA_031411155.1	PRJNA808857	SAMN29839791	Switzerland	GFS
Polaromonas_sp._VAR_17_metabat_362_GCA_031412235.1	GCA_031412235.1	PRJNA808857	SAMN29839735	Switzerland	GFS
Polaromonas_sp._VAR_34_metabat_99_GCA_031414215.1	GCA_031414215.1	PRJNA808857	SAMN29839931	Switzerland	GFS
Polaromonas_sp._VAR_35_metabat_51_GCA_031417695.1	GCA_031417695.1	PRJNA808857	SAMN29839989	Switzerland	GFS
Polaromonas_sp._VAR_35_metabat_389_GCA_031417995.1	GCA_031417995.1	PRJNA808857	SAMN29839973	Switzerland	GFS
Polaromonas_sp._VAR_45_metabat_307_GCA_031419775.1	GCA_031419775.1	PRJNA808857	SAMN29840265	Switzerland	GFS
Polaromonas_sp._VAR_48_metabat_346_GCA_031422575.1	GCA_031422575.1	PRJNA808857	SAMN29840332	Switzerland	GFS
Polaromonas_sp._VAR_69_metabat_82_GCA_031423655.1	GCA_031423655.1	PRJNA808857	SAMN29840491	Switzerland	GFS
