genome	genus
GB_GCA_001770935.1	Rhodoferax_C
GB_GCA_001771065.1	Rhodoferax
GB_GCA_001795455.1	Rhodoferax_C
GB_GCA_001871515.1	Rhodoferax
GB_GCA_002083775.1	Rhodoferax
GB_GCA_002256115.1	Rhodoferax_C
GB_GCA_002381045.1	Rhodoferax
GB_GCA_002390825.1	Rhodoferax_C
GB_GCA_002422455.1	Rhodoferax
GB_GCA_002784245.1	Rhodoferax
GB_GCA_002786915.1	Rhodoferax
GB_GCA_002789915.1	Rhodoferax
GB_GCA_002842265.1	Rhodoferax
GB_GCA_003133245.1	Rhodoferax
GB_GCA_004293725.1	Rhodoferax_C
GB_GCA_004322085.1	Rhodoferax_A
GB_GCA_004323695.1	Rhodoferax_A
GB_GCA_005793295.1	Rhodoferax_C
GB_GCA_007279715.1	Rhodoferax_C
GB_GCA_007280205.1	Rhodoferax
GB_GCA_008015235.1	Rhodoferax_C
GB_GCA_008080595.1	Rhodoferax
GB_GCA_009693325.1	Rhodoferax
GB_GCA_009922295.1	Rhodoferax
GB_GCA_009924455.1	Rhodoferax_C
GB_GCA_009925925.1	Rhodoferax_C
GB_GCA_011391545.1	Rhodoferax
GB_GCA_013297875.1	JAAFIW01
GB_GCA_013298815.1	JAAFJR01
GB_GCA_013298945.1	JAAFJR01
GB_GCA_014190675.1	Rhodoferax
GB_GCA_016463455.1	Rhodoferax_C
GB_GCA_016703665.1	JADJBS01
GB_GCA_016703945.1	Rhodoferax_C
GB_GCA_016704915.1	JAABRC01
GB_GCA_016705065.1	JAAFJR01
GB_GCA_016705575.1	Rhodoferax_C
GB_GCA_016708345.1	Rhodoferax
GB_GCA_016708725.1	Rhodoferax_C
GB_GCA_016718155.1	JAUXWC01
GB_GCA_016718405.1	JAUXWC01
GB_GCA_016719055.1	Rhodoferax
GB_GCA_016719405.1	Rhodoferax_C
GB_GCA_016790475.1	CAISIP01
GB_GCA_017848435.1	PCRC01
GB_GCA_017880985.1	Rhodoferax
GB_GCA_017997975.1	Rhodoferax
GB_GCA_018063505.1	CAISIP01
GB_GCA_018241985.1	Rhodoferax_A
GB_GCA_018815325.1	JAHIYE01
GB_GCA_018882485.1	Rhodoferax
GB_GCA_019449595.1	Rhodoferax_C
GB_GCA_020048255.1	Rhodoferax
GB_GCA_020048795.1	Rhodoferax
GB_GCA_020048895.1	Rhodoferax_C
GB_GCA_021731215.1	Rhodoferax
GB_GCA_021732385.1	JAKFVA01
GB_GCA_021737865.1	Rhodoferax_C
GB_GCA_021737875.1	Rhodoferax_C
GB_GCA_021737975.1	Rhodoferax
GB_GCA_021738345.1	Rhodoferax_C
GB_GCA_021812315.1	Rhodoferax
GB_GCA_023231075.1	Rhodoferax
GB_GCA_024235935.1	CAISIP01
GB_GCA_024236015.1	CAISIP01
GB_GCA_024642025.1	JAABRC01
GB_GCA_025351745.1	Rhodoferax_C
GB_GCA_025354965.1	Rhodoferax
GB_GCA_025356445.1	JADJBS01
GB_GCA_025356545.1	CANCDA01
GB_GCA_025358555.1	JANYCG01
GB_GCA_025359085.1	Rhodoferax
GB_GCA_025360385.1	JANYCG01
GB_GCA_025360705.1	CAISIP01
GB_GCA_025363275.1	Rhodoferax_C
GB_GCA_026785765.1	CAISIP01
GB_GCA_027214345.1	CAISIP01
GB_GCA_027483085.1	Rhodoferax_C
GB_GCA_027488985.1	Rhodoferax_C
GB_GCA_027490925.1	PCRC01
GB_GCA_027924025.1	Rhodoferax_C
GB_GCA_028711355.1	Rhodoferax
GB_GCA_028868305.1	Rhodoferax_C
GB_GCA_029561195.1	JAABRC01
GB_GCA_029865675.1	Rhodoferax_C
GB_GCA_029865845.1	Rhodoferax_C
GB_GCA_029866205.1	Rhodoferax_C
GB_GCA_029946045.1	Rhodoferax
GB_GCA_030123545.1	Rhodoferax_A
GB_GCA_030645355.1	Rhodoferax_C
GB_GCA_030682475.1	Rhodoferax
GB_GCA_030683195.1	Rhodoferax
GB_GCA_030685025.1	JAUXWC01
GB_GCA_030824095.1	Rhodoferax_C
GB_GCA_030833685.1	Rhodoferax
GB_GCA_031291295.1	Rhodoferax_A
GB_GCA_031360805.1	JANYCG01
GB_GCA_031363785.1	CAISIP01
GB_GCA_031365665.1	JANYCG01
GB_GCA_031367285.1	CAISIP01
GB_GCA_031368125.1	CAISIP01
GB_GCA_031372035.1	JANMKM01
GB_GCA_031373455.1	JANYCG01
GB_GCA_031379255.1	JANYCG01
GB_GCA_031380235.1	JANYCG01
GB_GCA_031381865.1	CAISIP01
GB_GCA_031383745.1	CAISIP01
GB_GCA_031386665.1	JANYCG01
GB_GCA_031387285.1	CAISIP01
GB_GCA_031390045.1	JAAFJR01
GB_GCA_031392805.1	JANYCG01
GB_GCA_031392945.1	JANYCG01
GB_GCA_031394895.1	Rhodoferax
GB_GCA_031396205.1	CAISIP01
GB_GCA_031397915.1	JANYCG01
GB_GCA_031403955.1	CAISIP01
GB_GCA_031410295.1	JANYCG01
GB_GCA_031411175.1	JANYCG01
GB_GCA_031412185.1	CAISIP01
GB_GCA_031414805.1	JAAFIW01
GB_GCA_031416195.1	JANYCG01
GB_GCA_031416215.1	CAISIP01
GB_GCA_031416395.1	JANYCG01
GB_GCA_031416855.1	CAISIP01
GB_GCA_031417575.1	JANYCG01
GB_GCA_031418135.1	JANYCG01
GB_GCA_031418395.1	JANYCG01
GB_GCA_031419575.1	JANYCG01
GB_GCA_031420135.1	JANYCG01
GB_GCA_031422495.1	JAAFJR01
GB_GCA_031424795.1	JAAFJR01
GB_GCA_031426635.1	JAAFJR01
GB_GCA_031427355.1	CANCDA01
GB_GCA_031428695.1	JANYCG01
GB_GCA_031430225.1	JANYCG01
GB_GCA_031431035.1	JANYCG01
GB_GCA_034519365.1	Rhodoferax_C
GB_GCA_035355475.1	Rhodoferax_C
GB_GCA_035368905.1	Rhodoferax
GB_GCA_035572155.1	Rhodoferax_A
GB_GCA_036170715.1	Rhodoferax
GB_GCA_036171375.1	Rhodoferax
GB_GCA_036405035.1	PCRC01
GB_GCA_036508025.1	Rhodoferax
GB_GCA_036735785.1	Rhodoferax_C
GB_GCA_036835225.1	Rhodoferax
GB_GCA_037132975.1	Rhodoferax
GB_GCA_037133455.1	Rhodoferax_C
GB_GCA_037133835.1	Rhodoferax
GB_GCA_037134215.1	Rhodoferax
GB_GCA_037139995.1	Rhodoferax
GB_GCA_037141865.1	Rhodoferax
GB_GCA_037143475.1	Rhodoferax_C
GB_GCA_037443905.1	Rhodoferax
GB_GCA_037447395.1	Rhodoferax
GB_GCA_037968455.1	Rhodoferax
GB_GCA_037968655.1	CAISIP01
GB_GCA_038145425.1	Rhodoferax
GB_GCA_038200275.1	JBBPYC01
GB_GCA_038207855.1	Rhodoferax
GB_GCA_038207945.1	Rhodoferax
GB_GCA_038208175.1	Rhodoferax
GB_GCA_038213665.1	Rhodoferax
GB_GCA_038215405.1	Rhodoferax
GB_GCA_038230175.1	Rhodoferax_C
GB_GCA_038237415.1	Rhodoferax_C
GB_GCA_038245855.1	Rhodoferax_C
GB_GCA_038247175.1	CAISIP01
GB_GCA_038317285.1	Rhodoferax_C
GB_GCA_038326025.1	CAISIP01
GB_GCA_038327925.1	Rhodoferax_C
GB_GCA_038328055.1	Rhodoferax
GB_GCA_039796835.1	JANYCG01
GB_GCA_039798085.1	Rhodoferax_C
GB_GCA_039807845.1	CAISIP01
GB_GCA_039923645.1	Rhodoferax_A
GB_GCA_039924745.1	Rhodoferax_C
GB_GCA_039931475.1	JBBPYC01
GB_GCA_039934375.1	CAISIP01
GB_GCA_040079635.1	JAAFJR01
GB_GCA_040377375.1	JBEIOV01
GB_GCA_040382055.1	JBEIGE01
GB_GCA_040384665.1	PCRC01
GB_GCA_040384785.1	Rhodoferax_C
GB_GCA_040385425.1	Rhodoferax
