sampleId	parsedLat	parsedLon	latFieldLabel	latFieldOriginalValue	lonFieldLabel	lonFieldOriginalValue
SRS5981300	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
SRS3976925	40.6784075	-74.02033	sample_lat_lon	40.6784075 N 74.02033 W	sample_lat_lon	40.6784075 N 74.02033 W
SRS7301705	None	None	sample_lat_lon	missing	sample_lat_lon	missing
SRS7301753	None	None	sample_lat_lon	missing	sample_lat_lon	missing
SRS7301777	None	None	sample_lat_lon	missing	sample_lat_lon	missing
ERS3341778	None	None	None	None	None	None
ERS3341779	None	None	None	None	None	None
ERS3341833	None	None	None	None	None	None
ERS3341839	None	None	None	None	None	None
ERS3341777	None	None	None	None	None	None
SRS4074722	35.88155	104.011791	sample_lat_lon	35.88155 N 104.011791 E	sample_lat_lon	35.88155 N 104.011791 E
SRS4074724	35.88155	104.011791	sample_lat_lon	35.88155 N 104.011791 E	sample_lat_lon	35.88155 N 104.011791 E
SRS4074721	35.88155	104.011791	sample_lat_lon	35.88155 N 104.011791 E	sample_lat_lon	35.88155 N 104.011791 E
ERS1216787	None	None	None	None	None	None
SRS1210721	78.08	16.069999999999936	sample_lat_lon	78.08 N 16.069999999999936 E	sample_lat_lon	78.08 N 16.069999999999936 E
SRS1210868	78.08	16.069999999999936	sample_lat_lon	78.08 N 16.069999999999936 E	sample_lat_lon	78.08 N 16.069999999999936 E
SRS1591256	71.2999	-156.61	sample_lat_lon	71.2999 N 156.61 W	sample_lat_lon	71.2999 N 156.61 W
SRS502865	-77.62545	163.2102	sample_lat_lon	77.62545 S 163.2102 E	sample_lat_lon	77.62545 S 163.2102 E
SRS6935934	None	None	sample_lat_lon	Not available	sample_lat_lon	Not available
SRS3418737	64.487	-17.5058	sample_lat_lon	64.4870 N 17.5058 W	sample_lat_lon	64.4870 N 17.5058 W
SRS1310642	49.25	0.36	sample_lat_lon	49.25 N 0.36 E	sample_lat_lon	49.25 N 0.36 E
SRS1310631	49.25	0.36	sample_lat_lon	49.25 N 0.36 E	sample_lat_lon	49.25 N 0.36 E
SRS1310652	49.25	0.36	sample_lat_lon	49.25 N 0.36 E	sample_lat_lon	49.25 N 0.36 E
SRS608818	29.556	101.969	sample_lat_lon	29.556 N 101.969 E	sample_lat_lon	29.556 N 101.969 E
ERS4808746	58.83333333	17.51666667	sample_geographic location (latitude)	58.83333333	sample_geographic location (longitude)	17.51666667
ERS4808747	58.83333333	17.51666667	sample_geographic location (latitude)	58.83333333	sample_geographic location (longitude)	17.51666667
ERS4808761	58.83333333	17.51666667	sample_geographic location (latitude)	58.83333333	sample_geographic location (longitude)	17.51666667
ERS4808750	58.83333333	17.51666667	sample_geographic location (latitude)	58.83333333	sample_geographic location (longitude)	17.51666667
ERS4808766	58.83333333	17.51666667	sample_geographic location (latitude)	58.83333333	sample_geographic location (longitude)	17.51666667
SRS5621160	46.965417	10.9448	sample_lat_lon	46.965417 N 10.9448 E	sample_lat_lon	46.965417 N 10.9448 E
ERS956390	12.4746	79.0136	sample_geographic location (latitude)	12.4746	sample_geographic location (longitude)	79.0136
SRS6529655	35.2833	81.4833	sample_lat_lon	35.2833 N 81.4833 E	sample_lat_lon	35.2833 N 81.4833 E
ERS4382101	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS4382103	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS4382107	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS4382108	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS4382113	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS4382114	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS4382118	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS2907731	None	None	sample_geographic location (latitude)	S 62°97'934''	sample_geographic location (longitude)	W 060°55'532''
SRS7629575	-67.65466667	46.1072	sample_lat_lon	67.65466667 S 46.1072 E	sample_lat_lon	67.65466667 S 46.1072 E
DRS088846	35.683714	139.4829	sample_lat_lon	35.683714 N 139.482900 E	sample_lat_lon	35.683714 N 139.482900 E
ERS097018	49.96	11.59	sample_Geographic location (latitude)	49.96	sample_Geographic location (longitude)	11.59
ERS097021	48.5	11.35	sample_Geographic location (latitude)	48.50	sample_Geographic location (longitude)	11.35
ERS097027	48.5	11.35	sample_Geographic location (latitude)	48.50	sample_Geographic location (longitude)	11.35
ERS227803	78.13	15.38	sample_geographic location (latitude)	78.13	sample_geographic location (longitude)	15.38
ERS227806	78.13	15.38	sample_geographic location (latitude)	78.13	sample_geographic location (longitude)	15.38
ERS227813	78.13	15.38	sample_geographic location (latitude)	78.13	sample_geographic location (longitude)	15.38
ERS227816	78.13	15.38	sample_geographic location (latitude)	78.13	sample_geographic location (longitude)	15.38
ERS382909	37.5	126.9	sample_geographic location (latitude)	37.5	sample_geographic location (longitude)	126.9
ERS506101	46.64	8.46	sample_geographic location (latitude)	46.64	sample_geographic location (longitude)	8.46
ERS548446	42.0831	86.351	sample_geographic location (latitude)	42.0831	sample_geographic location (longitude)	86.351
ERS550802	45.464161	9.190336	sample_geographic location (latitude)	45.464161	sample_geographic location (longitude)	9.190336
ERS4143450	78.86787247	12.19828317	sample_geographic location (latitude)	78.86787247	sample_geographic location (longitude)	12.19828317
ERS4143454	67.89958568	18.59227923	sample_geographic location (latitude)	67.89958568	sample_geographic location (longitude)	18.59227923
ERS1197929	51.20903	4.43729	sample_geographic location (latitude)	51.20903	sample_geographic location (longitude)	4.43729
ERS1270516	None	None	None	None	None	None
ERS1270628	51.209467	10.791968	sample_geographic location (latitude)	51.209467	sample_geographic location (longitude)	10.791968
ERS1377248	None	None	None	None	None	None
ERS1377255	None	None	None	None	None	None
ERS1377256	None	None	None	None	None	None
ERS1377350	None	None	None	None	None	None
ERS1377362	None	None	None	None	None	None
ERS1392529	51.119338	10.469198	sample_geographic location (latitude)	51.119338	sample_geographic location (longitude)	10.469198
ERS1534920	52.11	106.66	sample_geographic location (latitude)	52.11	sample_geographic location (longitude)	106.66
ERS1534922	52.11	106.66	sample_geographic location (latitude)	52.11	sample_geographic location (longitude)	106.66
ERS1534923	52.11	106.66	sample_geographic location (latitude)	52.11	sample_geographic location (longitude)	106.66
ERS1534926	52.11	106.66	sample_geographic location (latitude)	52.11	sample_geographic location (longitude)	106.66
ERS1534927	52.11	106.66	sample_geographic location (latitude)	52.11	sample_geographic location (longitude)	106.66
ERS1876071	59.8376	18.6203	sample_geographic location (latitude)	59.8376	sample_geographic location (longitude)	18.6203
ERS1876129	59.8376	18.6203	sample_geographic location (latitude)	59.8376	sample_geographic location (longitude)	18.6203
ERS1645497	51.196707	10.755501	sample_geographic location (latitude)	51,196707	sample_geographic location (longitude)	10,755501
ERS1739486	-77.716667	162.366667	sample_latitude	-77.716667	sample_longitude	162.366667
ERS1739502	-77.716667	162.366667	sample_latitude	-77.716667	sample_longitude	162.366667
ERS1739507	-77.716667	162.366667	sample_latitude	-77.716667	sample_longitude	162.366667
ERS1918498	33.0	102.0	sample_geographic location (latitude)	33	sample_geographic location (longitude)	102
ERS1918499	33.0	102.0	sample_geographic location (latitude)	33	sample_geographic location (longitude)	102
ERS1891324	43.291853	-73.596529	sample_geographic location (latitude)	43.291853	sample_geographic location (longitude)	-73.596529
ERS1891326	43.291853	-73.596529	sample_geographic location (latitude)	43.291853	sample_geographic location (longitude)	-73.596529
ERS4382395	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS4382396	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS4382397	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS4382398	50.132777777777775	None	sample_geographic location (latitude)	50�07'58N	sample_geographic location (longitude)	12�27'46?E
ERS2550524	48.848566	14.485503	sample_geographic location (latitude)	48.848566	sample_geographic location (longitude)	14.485503
ERS2550526	48.848566	14.485503	sample_geographic location (latitude)	48.848566	sample_geographic location (longitude)	14.485503
ERS2550528	48.848566	14.485503	sample_geographic location (latitude)	48.848566	sample_geographic location (longitude)	14.485503
ERS2169668	None	None	None	None	None	None
ERS2169669	None	None	None	None	None	None
ERS2169670	None	None	None	None	None	None
ERS2169671	None	None	None	None	None	None
ERS2221422	51.196707	10.755501	sample_geographic location (latitude)	51,196707	sample_geographic location (longitude)	10,755501
ERS2411190	44.02	16.33	sample_lat_lon	44.02 N 16.33 E	sample_lat_lon	44.02 N 16.33 E
ERS2472678	46.5744	6.439	sample_geographic location (latitude)	46.5744	sample_geographic location (longitude)	6.4390
ERS2472681	47.5089	8.3403	sample_geographic location (latitude)	47.5089	sample_geographic location (longitude)	8.3403
ERS2472689	47.1604	7.0238	sample_geographic location (latitude)	47.1604	sample_geographic location (longitude)	7.0238
ERS2472690	47.1596	7.0225	sample_geographic location (latitude)	47.1596	sample_geographic location (longitude)	7.0225
ERS2472774	46.5744	6.439	sample_geographic location (latitude)	46.5744	sample_geographic location (longitude)	6.4390
ERS2472777	47.5089	8.3403	sample_geographic location (latitude)	47.5089	sample_geographic location (longitude)	8.3403
ERS2472785	47.1604	7.0238	sample_geographic location (latitude)	47.1604	sample_geographic location (longitude)	7.0238
ERS2472786	47.1596	7.0225	sample_geographic location (latitude)	47.1596	sample_geographic location (longitude)	7.0225
ERS2597923	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597935	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597941	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597943	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597948	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597954	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597958	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597970	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597976	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597978	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2597983	63.33822222222222	12.681388888888888	sample_geographic location (latitude)	63��20'17.6N	sample_geographic location (longitude)	12��32'533E
ERS2638593	37.229573	-80.413939	sample_geographic location (latitude)	37.229573	sample_geographic location (longitude)	-80.413939
ERS2782401	None	None	None	None	None	None
ERS2897700	51.74044397	-1.115078805	sample_geographic location (latitude)	51.74044397	sample_geographic location (longitude)	-1.115078805
ERS2897813	51.47689746	-0.917285513	sample_geographic location (latitude)	51.47689746	sample_geographic location (longitude)	-0.917285513
ERS2897846	51.60074567	-1.120106224	sample_geographic location (latitude)	51.60074567	sample_geographic location (longitude)	-1.120106224
ERS3048897	None	None	None	None	None	None
ERS3048926	None	None	None	None	None	None
ERS3051117	None	None	None	None	None	None
ERS3230824	None	None	None	None	None	None
ERS3334626	59.219959	17.937439	sample_geographic location (latitude)	59.219959	sample_geographic location (longitude)	17.937439
ERS3336412	63.88306	-149.22556	sample_geographic location (latitude)	63.88306	sample_geographic location (longitude)	-149.22556
ERS3336415	63.88306	-149.22556	sample_geographic location (latitude)	63.88306	sample_geographic location (longitude)	-149.22556
ERS3336416	63.88306	-149.22556	sample_geographic location (latitude)	63.88306	sample_geographic location (longitude)	-149.22556
ERS3336406	63.88306	-149.22556	sample_geographic location (latitude)	63.88306	sample_geographic location (longitude)	-149.22556
ERS3336407	63.88306	-149.22556	sample_geographic location (latitude)	63.88306	sample_geographic location (longitude)	-149.22556
ERS3336411	63.88306	-149.22556	sample_geographic location (latitude)	63.88306	sample_geographic location (longitude)	-149.22556
ERS3548301	51.209467	10.791968	sample_geographic location (latitude)	51,209467	sample_geographic location (longitude)	10,791968
ERS3548393	51.196707	10.755501	sample_geographic location (latitude)	51,196707	sample_geographic location (longitude)	10,755501
ERS3740594	None	None	None	None	None	None
ERS3740606	None	None	None	None	None	None
ERS3740610	None	None	None	None	None	None
ERS3740613	None	None	None	None	None	None
ERS3740625	None	None	None	None	None	None
ERS3740662	None	None	None	None	None	None
ERS3740672	None	None	None	None	None	None
ERS3740673	None	None	None	None	None	None
ERS3740674	None	None	None	None	None	None
ERS3740682	None	None	None	None	None	None
ERS3740683	None	None	None	None	None	None
ERS3740692	None	None	None	None	None	None
ERS3740696	None	None	None	None	None	None
ERS3740710	None	None	None	None	None	None
ERS3740712	None	None	None	None	None	None
ERS3740715	None	None	None	None	None	None
ERS3740716	None	None	None	None	None	None
ERS3740717	None	None	None	None	None	None
ERS3740718	None	None	None	None	None	None
ERS3740723	None	None	None	None	None	None
ERS4043181	51.11481462	10.44798036	sample_geographic location (latitude)	51,11481462	sample_geographic location (longitude)	10,44798036
ERS4043206	51.11481462	10.44798036	sample_geographic location (latitude)	51,11481462	sample_geographic location (longitude)	10,44798036
