Name	Completeness	Contamination	Completeness_Model_Used	Additional_Notes
2019_bqzb_2_bin.20.purify	94.58	0.76	Gradient Boost (General Model)	None
2019_zjzb_5_bin.27.purify	84.3	1.51	Gradient Boost (General Model)	None
2020_CESD_W_2_bin.137.purify	76.66	3.26	Neural Network (Specific Model)	None
2020_CESD_W_2_bin.155.purify	78.33	3.18	Neural Network (Specific Model)	None
2020_CJH_W1_bin.104.purify	80.82	0.68	Neural Network (Specific Model)	None
2020_CN_B_W_1_bin.182.purify	70.39	0.71	Neural Network (Specific Model)	None
2020_CN_B_W_2_bin.211.purify	77.21	0.84	Neural Network (Specific Model)	None
2020_CN_D_w_1_bin.87.purify	70.09	0.07	Neural Network (Specific Model)	None
2020_CN_DB_w_1_bin.76.purify	76.91	0.76	Neural Network (Specific Model)	None
2020_CN_N_W_1_bin.10.purify	72.3	0.1	Neural Network (Specific Model)	None
2020_CN_N_W_2_0m_bin.145.purify	74.38	0.57	Neural Network (Specific Model)	None
2020_CRC_20W_1_0m_1_bin.141.purify	74.15	4.66	Neural Network (Specific Model)	None
2020_CRC_20W_1_5m_1_bin.1.purify	83.17	2.22	Neural Network (Specific Model)	None
2020_DQZB_w2_bin.26.purify	80.76	0.76	Neural Network (Specific Model)	None
2020_DQZB_w6_bin.142.purify	79.11	0.54	Neural Network (Specific Model)	None
2020_HH3_W1_bin.44.purify	75.31	0.08	Neural Network (Specific Model)	None
2020_HHSD3_W1_bin.46.purify	74.98	0.65	Neural Network (Specific Model)	None
2020_JNYC_20W_1_0m_1_bin.3.purify	85.03	0.92	Neural Network (Specific Model)	None
2020_JNYC_20W_1_100m_1_bin.31.purify	84.72	0.94	Neural Network (Specific Model)	None
2020_JNYC_20W_1_20m_1_bin.156.purify	83.79	3.31	Neural Network (Specific Model)	None
2020_JNYC_20W_1_20m_1_bin.170.purify	81.93	3.79	Neural Network (Specific Model)	None
2020_JNYC_20W_1_40m_1_bin.103.purify	84.2	2.15	Neural Network (Specific Model)	None
2020_JNYC_20W_1_40m_1_bin.67.purify	72.48	0.45	Neural Network (Specific Model)	None
2020_JNYC_20W_1_60m_1_bin.131.purify	87.92	2.61	Neural Network (Specific Model)	None
2020_JNYC_20W_1_60m_1_bin.91.purify	89.14	3.74	Gradient Boost (General Model)	None
2020_JNYC_20W_1_80m_1_bin.130.purify	83.49	0.47	Neural Network (Specific Model)	None
2020_JNYC_20W_2_1_bin.98.purify	86.69	2.58	Neural Network (Specific Model)	None
2020_KMC_20W_1_10m_1_bin.19.purify	75.51	0.92	Gradient Boost (General Model)	None
2020_SLC_w_7_bin.196.purify	71.8	3.62	Neural Network (Specific Model)	None
2020_SQ_W_1_bin.87.purify	82.44	2.46	Neural Network (Specific Model)	None
2020_TLH1_W1_bin.58.purify	80.58	0.97	Neural Network (Specific Model)	None
2020_TLSD3_W1_bin.4.purify	76.92	0.02	Neural Network (Specific Model)	None
2020_YBJSD_W_1_bin.84.purify	79.25	0.35	Neural Network (Specific Model)	None
2020_YBJSD_W_2_bin.50.purify	87.3	0.34	Neural Network (Specific Model)	None
2020_YZYC_20W_1_10m_1_bin.149.purify	79.57	2.47	Neural Network (Specific Model)	None
2020_YZYC_20W_1_15m_1_bin.106.purify	70.17	0.08	Neural Network (Specific Model)	None
2020_YZYC_20W_1_20m_1_bin.94.purify	72.4	0.18	Neural Network (Specific Model)	None
2020_YZYC_20W_1_25m_1_bin.128.purify	72.92	0.16	Neural Network (Specific Model)	None
2020_YZYC_20W_1_5m_1_bin.31.purify	71.84	0.65	Neural Network (Specific Model)	None
2020_ZJZBSD_01_1_bin.11.purify	95.15	1.02	Neural Network (Specific Model)	None
2020_ZJZBSD_04_1_bin.130.purify	98.72	0.33	Neural Network (Specific Model)	None
2020_ZJZBSD_04_3_bin.62.purify	81.27	2.49	Neural Network (Specific Model)	None
